"id","created_at","updated_at","name","description","display","dataset_query","visualization_settings","creator_id","database_id","table_id","query_type","archived","collection_id","public_uuid","made_public_by_id","enable_embedding","embedding_params","cache_ttl","result_metadata","collection_position","entity_id","parameters","parameter_mappings","collection_preview","metabase_version","type","initially_published_at","cache_invalidated_at","last_used_at","view_count","archived_directly","dataset_query_metrics_v2_migration_backup","source_card_id","dashboard_id","card_schema","document_id"
1,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Aerodynamic Copper Knife trend","Compares the total number of orders placed for this product this month with the previous period","smartscalar","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""sum"",[""field"",39,{""base-type"":""type/Integer""}]]],""breakout"":[[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}]],""source-table"":5,""filter"":[""and"",[""between"",[""field"",41,{""base-type"":""type/DateTime""}],""2021-01-01"",""2024-01-23""],[""="",[""field"",62,{""base-type"":""type/BigInteger"",""source-field"":40}],165]]}}","{""column_settings"":null}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""description"":""The date and time an order was submitted."",""database_type"":""TIMESTAMP"",""semantic_type"":""type/CreationTimestamp"",""coercion_strategy"":null,""unit"":""month"",""name"":""CREATED_AT"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}],""effective_type"":""type/DateTime"",""id"":41,""ident"":""breakout_oShRjudlgUvJRezvGTQTD@0__0"",""visibility_type"":""normal"",""display_name"":""Created At: Month"",""fingerprint"":{""global"":{""distinct-count"":10001,""nil%"":0.0},""type"":{""type/DateTime"":{""earliest"":""2022-04-30T18:56:13.352Z"",""latest"":""2026-04-19T14:07:15.657Z""}}},""base_type"":""type/DateTime""},{""database_type"":""BIGINT"",""semantic_type"":""type/Quantity"",""name"":""sum"",""settings"":null,""field_ref"":[""aggregation"",0],""effective_type"":""type/BigInteger"",""ident"":""aggregation_oShRjudlgUvJRezvGTQTD@0__0"",""display_name"":""Sum of Quantity"",""fingerprint"":{""global"":{""distinct-count"":7,""nil%"":0.0},""type"":{""type/Number"":{""min"":1.0,""q1"":3.25,""q3"":6.0,""max"":74.0,""sd"":22.086949389477336,""avg"":11.5}}},""base_type"":""type/BigInteger""}]",NULL,"oShRjudlgUvJRezvGTQTD","[]","[]",True,NULL,"question",NULL,NULL,"2025-06-05 08:05:03.69897+00",28,False,NULL,NULL,NULL,20,NULL
2,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Orders with People",NULL,"table","{""database"":1,""type"":""query"",""query"":{""expressions"":{""Age"":[""datetime-diff"",[""field"",49,{""base-type"":""type/Date"",""join-alias"":""People - User""}],[""now""],""year""]},""joins"":[{""alias"":""People - User"",""strategy"":""left-join"",""condition"":[""="",[""field"",43,{""base-type"":""type/Integer""}],[""field"",46,{""base-type"":""type/BigInteger"",""join-alias"":""People - User""}]],""source-table"":3}],""source-table"":5}}","{""table.column_widths"":[null,null,null,null,null,null,null,null,null,164],""graph.show_values"":true,""table.cell_column"":""SUBTOTAL"",""graph.series_order_dimension"":null,""graph.metrics"":[],""graph.series_order"":null,""table.pivot_column"":""Age"",""graph.dimensions"":[""Age""],""stackable.stack_type"":""stacked""}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""description"":""This is a unique ID for the product. It is also called the “Invoice number” or “Confirmation number” in customer facing emails and screens."",""semantic_type"":""type/PK"",""coercion_strategy"":null,""name"":""ID"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",37,null],""effective_type"":""type/BigInteger"",""id"":37,""visibility_type"":""normal"",""display_name"":""ID"",""fingerprint"":null,""base_type"":""type/BigInteger""},{""description"":""The id of the user who made this order. Note that in some cases where an order was created on behalf of a customer who phoned the order in, this might be the employee who handled the request."",""semantic_type"":""type/FK"",""coercion_strategy"":null,""name"":""USER_ID"",""settings"":null,""fk_target_field_id"":46,""field_ref"":[""field"",43,null],""effective_type"":""type/Integer"",""id"":43,""visibility_type"":""normal"",""display_name"":""User ID"",""fingerprint"":{""global"":{""distinct-count"":929,""nil%"":0}},""base_type"":""type/Integer""},{""description"":""The product ID. This is an internal identifier for the product, NOT the SKU."",""semantic_type"":""type/FK"",""coercion_strategy"":null,""name"":""PRODUCT_ID"",""settings"":null,""fk_target_field_id"":62,""field_ref"":[""field"",40,null],""effective_type"":""type/Integer"",""id"":40,""visibility_type"":""normal"",""display_name"":""Product ID"",""fingerprint"":{""global"":{""distinct-count"":200,""nil%"":0}},""base_type"":""type/Integer""},{""description"":""The raw, pre-tax cost of the order. Note that this might be different in the future from the product price due to promotions, credits, etc."",""semantic_type"":null,""coercion_strategy"":null,""name"":""SUBTOTAL"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",44,null],""effective_type"":""type/Float"",""id"":44,""visibility_type"":""normal"",""display_name"":""Subtotal"",""fingerprint"":{""global"":{""distinct-count"":340,""nil%"":0},""type"":{""type/Number"":{""min"":15.691943673970439,""q1"":49.74894519060184,""q3"":105.42965746993103,""max"":148.22900526552291,""sd"":32.53705013056317,""avg"":77.01295465356547}}},""base_type"":""type/Float""},{""description"":""This is the amount of local and federal taxes that are collected on the purchase. Note that other governmental fees on some products are not included here, but instead are accounted for in the subtotal."",""semantic_type"":null,""coercion_strategy"":null,""name"":""TAX"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",38,null],""effective_type"":""type/Float"",""id"":38,""visibility_type"":""normal"",""display_name"":""Tax"",""fingerprint"":{""global"":{""distinct-count"":797,""nil%"":0},""type"":{""type/Number"":{""min"":0,""q1"":2.273340386603857,""q3"":5.337275338216307,""max"":11.12,""sd"":2.3206651358900316,""avg"":3.8722100000000004}}},""base_type"":""type/Float""},{""description"":""The total billed amount."",""semantic_type"":null,""coercion_strategy"":null,""name"":""TOTAL"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",42,null],""effective_type"":""type/Float"",""id"":42,""visibility_type"":""normal"",""display_name"":""Total"",""fingerprint"":{""global"":{""distinct-count"":4426,""nil%"":0},""type"":{""type/Number"":{""min"":8.93914247937167,""q1"":51.34535490743823,""q3"":110.29428389265787,""max"":159.34900526552292,""sd"":34.26469575709948,""avg"":80.35871658771228}}},""base_type"":""type/Float""},{""description"":""Discount amount."",""semantic_type"":""type/Discount"",""coercion_strategy"":null,""name"":""DISCOUNT"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",36,null],""effective_type"":""type/Float"",""id"":36,""visibility_type"":""normal"",""display_name"":""Discount"",""fingerprint"":{""global"":{""distinct-count"":701,""nil%"":0.898},""type"":{""type/Number"":{""min"":0.17088996672584322,""q1"":2.9786226681458743,""q3"":7.338187788658235,""max"":61.69684269960571,""sd"":3.053663125001991,""avg"":5.161255547580326}}},""base_type"":""type/Float""},{""description"":""The date and time an order was submitted."",""semantic_type"":""type/CreationTimestamp"",""coercion_strategy"":null,""unit"":""default"",""name"":""CREATED_AT"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",41,{""temporal-unit"":""default""}],""effective_type"":""type/DateTime"",""id"":41,""visibility_type"":""normal"",""display_name"":""Created At"",""fingerprint"":{""global"":{""distinct-count"":10001,""nil%"":0},""type"":{""type/DateTime"":{""earliest"":""2022-04-30T18:56:13.352Z"",""latest"":""2026-04-19T14:07:15.657Z""}}},""base_type"":""type/DateTime""},{""description"":""Number of products bought."",""semantic_type"":""type/Quantity"",""coercion_strategy"":null,""name"":""QUANTITY"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",39,null],""effective_type"":""type/Integer"",""id"":39,""visibility_type"":""normal"",""display_name"":""Quantity"",""fingerprint"":{""global"":{""distinct-count"":62,""nil%"":0},""type"":{""type/Number"":{""min"":0,""q1"":1.755882607764982,""q3"":4.882654507928044,""max"":100,""sd"":4.214258386403798,""avg"":3.7015}}},""base_type"":""type/Integer""},{""display_name"":""Age"",""field_ref"":[""field"",""Age"",{""base-type"":""type/BigInteger""}],""name"":""Age"",""base_type"":""type/BigInteger"",""effective_type"":""type/BigInteger"",""fingerprint"":{""global"":{""distinct-count"":42,""nil%"":0},""type"":{""type/Number"":{""min"":24,""q1"":33.36752836803635,""q3"":55.20362176071121,""max"":65,""sd"":12.063315373018085,""avg"":44.572}}},""semantic_type"":null}]",1,"hjNoawcRfsDrC32g7LSOE","[]","[]",True,NULL,"model",NULL,NULL,"2025-05-31 11:42:01.63138+00",3,False,NULL,NULL,NULL,20,NULL
3,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Revenue per age group","Shows the revenue distributed by age group","bar","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""sum"",[""field"",""TOTAL"",{""base-type"":""type/Float""}]]],""breakout"":[[""field"",""Age"",{""base-type"":""type/BigInteger"",""binning"":{""strategy"":""num-bins"",""num-bins"":10}}]],""source-table"":""card__2""}}","{""column_settings"":null,""graph.dimensions"":[""Age""],""graph.metrics"":[""sum""],""graph.series_order"":null,""graph.series_order_dimension"":null,""graph.show_values"":true,""stackable.stack_type"":""stacked"",""table.cell_column"":""SUBTOTAL""}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""field_ref"":[""field"",""Age"",{""base-type"":""type/BigInteger"",""binning"":{""strategy"":""num-bins"",""num-bins"":10,""min-value"":20.0,""max-value"":65.0,""bin-width"":5.0}}],""base_type"":""type/BigInteger"",""name"":""Age"",""effective_type"":""type/BigInteger"",""display_name"":""Age"",""fingerprint"":{""global"":{""distinct-count"":42,""nil%"":0},""type"":{""type/Number"":{""min"":24,""q1"":33.36752836803635,""q3"":55.20362176071121,""max"":65,""sd"":12.063315373018085,""avg"":44.572}}},""binning_info"":{""num_bins"":10,""min_value"":20.0,""max_value"":65.0,""bin_width"":5.0,""binning_strategy"":""num-bins""},""source"":""breakout""},{""base_type"":""type/Float"",""name"":""sum"",""display_name"":""Sum of Total"",""source"":""aggregation"",""field_ref"":[""aggregation"",0],""aggregation_index"":0}]",NULL,"rqxxsDv8zhSBXgJmVjyWa","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:01.243182+00",28,False,NULL,NULL,NULL,20,NULL
4,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Buyers by age group","Shows a distribution of our customers in age groups","bar","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""count""]],""breakout"":[[""field"",""Age"",{""base-type"":""type/BigInteger"",""binning"":{""strategy"":""num-bins"",""num-bins"":10}}]],""source-table"":""card__26""}}","{""graph.dimensions"":[""Age""],""series_settings"":{""count"":{""color"":""#A989C5""}},""graph.series_order_dimension"":null,""graph.series_order"":null,""graph.metrics"":[""count""],""graph.y_axis.title_text"":""Buyers""}",13371338,1,3,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""display_name"":""Age"",""field_ref"":[""field"",""Age"",{""base-type"":""type/BigInteger"",""binning"":{""strategy"":""num-bins"",""num-bins"":10,""min-value"":20,""max-value"":65,""bin-width"":5}}],""name"":""Age"",""base_type"":""type/Decimal"",""effective_type"":""type/Decimal"",""fingerprint"":{""global"":{""distinct-count"":42,""nil%"":0},""type"":{""type/Number"":{""min"":24,""q1"":33.340572873934306,""q3"":55.17166516756599,""max"":65,""sd"":12.263883782175668,""avg"":44.434}}},""semantic_type"":null},{""display_name"":""Count"",""semantic_type"":""type/Quantity"",""field_ref"":[""aggregation"",0],""name"":""count"",""base_type"":""type/BigInteger"",""effective_type"":""type/BigInteger"",""fingerprint"":{""global"":{""distinct-count"":9,""nil%"":0},""type"":{""type/Number"":{""min"":61,""q1"":270,""q3"":304,""max"":334,""sd"":99.91663191547909,""avg"":250}}}}]",NULL,"qj0jT7SXwEUezz1wSjtaZ","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:01.23669+00",17,False,NULL,NULL,NULL,20,NULL
5,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Heavy-Duty Silk Chair trend","Compares the total number of orders placed for this product this month with the previous period","smartscalar","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""sum"",[""field"",39,{""base-type"":""type/Integer""}]]],""breakout"":[[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}]],""source-table"":5,""filter"":[""and"",[""between"",[""field"",41,{""base-type"":""type/DateTime""}],""2021-01-01"",""2024-01-23""],[""="",[""field"",62,{""base-type"":""type/BigInteger"",""source-field"":40}],86]]}}","{""column_settings"":null}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""description"":""The date and time an order was submitted."",""database_type"":""TIMESTAMP"",""semantic_type"":""type/CreationTimestamp"",""coercion_strategy"":null,""unit"":""month"",""name"":""CREATED_AT"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}],""effective_type"":""type/DateTime"",""id"":41,""ident"":""breakout_nhFZBIIZA_KnK6RuLp36z@0__0"",""visibility_type"":""normal"",""display_name"":""Created At: Month"",""fingerprint"":{""global"":{""distinct-count"":10001,""nil%"":0.0},""type"":{""type/DateTime"":{""earliest"":""2022-04-30T18:56:13.352Z"",""latest"":""2026-04-19T14:07:15.657Z""}}},""base_type"":""type/DateTime""},{""database_type"":""BIGINT"",""semantic_type"":""type/Quantity"",""name"":""sum"",""settings"":null,""field_ref"":[""aggregation"",0],""effective_type"":""type/BigInteger"",""ident"":""aggregation_nhFZBIIZA_KnK6RuLp36z@0__0"",""display_name"":""Sum of Quantity"",""fingerprint"":{""global"":{""distinct-count"":7,""nil%"":0.0},""type"":{""type/Number"":{""min"":1.0,""q1"":2.5,""q3"":9.414213562373096,""max"":10.0,""sd"":3.693623849670827,""avg"":5.75}}},""base_type"":""type/BigInteger""}]",NULL,"nhFZBIIZA_KnK6RuLp36z","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:05.67911+00",26,False,NULL,NULL,NULL,20,NULL
6,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Total orders by category","Breaks down the overall performance of each of the product categories","pie","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""count""]],""breakout"":[[""field"",58,{""base-type"":""type/Text"",""source-field"":40}]],""source-table"":5}}","{""column_settings"":null,""pie.colors"":{""Doohickey"":""#7172AD"",""Gadget"":""#A989C5"",""Gizmo"":""#C7EAEA"",""Widget"":""#227FD2""}}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""description"":""The type of product, valid values include: Doohicky, Gadget, Gizmo and Widget"",""database_type"":""CHARACTER VARYING"",""semantic_type"":""type/Category"",""coercion_strategy"":null,""name"":""CATEGORY"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",58,{""base-type"":""type/Text"",""source-field"":40}],""effective_type"":""type/Text"",""id"":58,""ident"":""breakout_1aVGgD6-onGIPUeWCLiMA@0__0"",""visibility_type"":""normal"",""display_name"":""Product → Category"",""fingerprint"":{""global"":{""distinct-count"":4,""nil%"":0.0},""type"":{""type/Text"":{""percent-json"":0.0,""percent-url"":0.0,""percent-email"":0.0,""percent-state"":0.0,""average-length"":6.375}}},""base_type"":""type/Text""},{""database_type"":""BIGINT"",""semantic_type"":""type/Quantity"",""name"":""count"",""field_ref"":[""aggregation"",0],""effective_type"":""type/BigInteger"",""ident"":""aggregation_1aVGgD6-onGIPUeWCLiMA@0__0"",""display_name"":""Count"",""fingerprint"":{""global"":{""distinct-count"":4,""nil%"":0.0},""type"":{""type/Number"":{""min"":3976.0,""q1"":4380.0,""q3"":5000.0,""max"":5061.0,""sd"":489.3103990992493,""avg"":4690.0}}},""base_type"":""type/BigInteger""}]",NULL,"1aVGgD6-onGIPUeWCLiMA","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:05.799297+00",26,False,NULL,NULL,NULL,20,NULL
7,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Value of orders over time (before taxes)",NULL,"bar","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""sum"",[""field"",44,{""base-type"":""type/Float""}]]],""breakout"":[[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}],[""field"",58,{""base-type"":""type/Text"",""source-field"":40}]],""source-table"":5,""filter"":[""time-interval"",[""field"",41,{""base-type"":""type/DateTime""}],-24,""month""]}}","{""column_settings"":null,""graph.dimensions"":[""CREATED_AT"",""CATEGORY""],""graph.metrics"":[""sum""],""graph.series_order"":null,""graph.series_order_dimension"":null,""stackable.stack_type"":""stacked""}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""description"":""The date and time an order was submitted."",""database_type"":""TIMESTAMP"",""semantic_type"":""type/CreationTimestamp"",""coercion_strategy"":null,""unit"":""month"",""name"":""CREATED_AT"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}],""effective_type"":""type/DateTime"",""id"":41,""ident"":""breakout_f9RqS8HspKvcsGEH24_Af@0__0"",""visibility_type"":""normal"",""display_name"":""Created At: Month"",""fingerprint"":{""global"":{""distinct-count"":10001,""nil%"":0.0},""type"":{""type/DateTime"":{""earliest"":""2022-04-30T18:56:13.352Z"",""latest"":""2026-04-19T14:07:15.657Z""}}},""base_type"":""type/DateTime""},{""description"":""The type of product, valid values include: Doohicky, Gadget, Gizmo and Widget"",""database_type"":""CHARACTER VARYING"",""semantic_type"":""type/Category"",""coercion_strategy"":null,""name"":""CATEGORY"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",58,{""base-type"":""type/Text"",""source-field"":40}],""effective_type"":""type/Text"",""id"":58,""ident"":""breakout_f9RqS8HspKvcsGEH24_Af@0__1"",""visibility_type"":""normal"",""display_name"":""Product → Category"",""fingerprint"":{""global"":{""distinct-count"":4,""nil%"":0.0},""type"":{""type/Text"":{""percent-json"":0.0,""percent-url"":0.0,""percent-email"":0.0,""percent-state"":0.0,""average-length"":6.375}}},""base_type"":""type/Text""},{""database_type"":""DECFLOAT"",""semantic_type"":null,""name"":""sum"",""settings"":null,""field_ref"":[""aggregation"",0],""effective_type"":""type/Float"",""ident"":""aggregation_f9RqS8HspKvcsGEH24_Af@0__0"",""display_name"":""Sum of Subtotal"",""fingerprint"":{""global"":{""distinct-count"":96,""nil%"":0.0},""type"":{""type/Number"":{""min"":2700.5539328405675,""q1"":5250.149916853326,""q3"":11716.647413188106,""max"":15065.378395106733,""sd"":3310.511667354778,""avg"":8620.735873457897}}},""base_type"":""type/Float""}]",NULL,"f9RqS8HspKvcsGEH24_Af","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:06.826139+00",70,False,NULL,NULL,NULL,20,NULL
8,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Enormous Wool Car trend","Compares the total number of orders placed for this product this month with the previous period","smartscalar","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""sum"",[""field"",39,{""base-type"":""type/Integer""}]]],""breakout"":[[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}]],""source-table"":5,""filter"":[""and"",[""between"",[""field"",41,{""base-type"":""type/DateTime""}],""2021-01-01"",""2024-01-23""],[""="",[""field"",62,{""base-type"":""type/BigInteger"",""source-field"":40}],17]]}}","{""column_settings"":null}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""description"":""The date and time an order was submitted."",""database_type"":""TIMESTAMP"",""semantic_type"":""type/CreationTimestamp"",""coercion_strategy"":null,""unit"":""month"",""name"":""CREATED_AT"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",41,{""base-type"":""type/DateTime"",""temporal-unit"":""month""}],""effective_type"":""type/DateTime"",""id"":41,""ident"":""breakout_BP4o72CSvPOTLe5Nk6twf@0__0"",""visibility_type"":""normal"",""display_name"":""Created At: Month"",""fingerprint"":{""global"":{""distinct-count"":10001,""nil%"":0.0},""type"":{""type/DateTime"":{""earliest"":""2022-04-30T18:56:13.352Z"",""latest"":""2026-04-19T14:07:15.657Z""}}},""base_type"":""type/DateTime""},{""database_type"":""BIGINT"",""semantic_type"":""type/Quantity"",""name"":""sum"",""settings"":null,""field_ref"":[""aggregation"",0],""effective_type"":""type/BigInteger"",""ident"":""aggregation_BP4o72CSvPOTLe5Nk6twf@0__0"",""display_name"":""Sum of Quantity"",""fingerprint"":{""global"":{""distinct-count"":11,""nil%"":0.0},""type"":{""type/Number"":{""min"":3.0,""q1"":4.76393202250021,""q3"":17.0,""max"":21.0,""sd"":6.199964551476116,""avg"":10.142857142857142}}},""base_type"":""type/BigInteger""}]",NULL,"BP4o72CSvPOTLe5Nk6twf","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:05.67911+00",26,False,NULL,NULL,NULL,20,NULL
9,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Revenue by state",NULL,"map","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""sum"",[""field"",42,{""base-type"":""type/Float""}]]],""breakout"":[[""field"",48,{""base-type"":""type/Text"",""source-field"":43}]],""source-table"":5}}","{""column_settings"":null,""map.colors"":[""#e5e5f1"",""#c0c0da"",""#9b9cc3"",""#7677ab"",""hsl(239, 29.5%, 39.3%)""]}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""description"":""The state or province of the account’s billing address"",""database_type"":""CHARACTER"",""semantic_type"":""type/State"",""coercion_strategy"":null,""name"":""STATE"",""settings"":null,""fk_target_field_id"":null,""field_ref"":[""field"",48,{""base-type"":""type/Text"",""source-field"":43}],""effective_type"":""type/Text"",""id"":48,""ident"":""breakout_hBnes5i3LGSYZeoGIYwvm@0__0"",""visibility_type"":""normal"",""display_name"":""User → State"",""fingerprint"":{""global"":{""distinct-count"":49,""nil%"":0.0},""type"":{""type/Text"":{""percent-json"":0.0,""percent-url"":0.0,""percent-email"":0.0,""percent-state"":1.0,""average-length"":2.0}}},""base_type"":""type/Text""},{""database_type"":""DECFLOAT"",""semantic_type"":null,""name"":""sum"",""settings"":null,""field_ref"":[""aggregation"",0],""effective_type"":""type/Float"",""ident"":""aggregation_hBnes5i3LGSYZeoGIYwvm@0__0"",""display_name"":""Sum of Total"",""fingerprint"":{""global"":{""distinct-count"":48,""nil%"":0.0},""type"":{""type/Number"":{""min"":1358.6880585850759,""q1"":14606.102496036605,""q3"":45423.71594332504,""max"":108466.5974651383,""sd"":21267.69039176716,""avg"":31471.285063554824}}},""base_type"":""type/Float""}]",NULL,"hBnes5i3LGSYZeoGIYwvm","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:01.209786+00",28,False,NULL,NULL,NULL,20,NULL
10,"2024-10-08 05:19:11.764442+00","2024-10-08 05:19:11.764442+00","Orders by source per age group","Shows a distribution of orders broken down by source across our customers' age groups","bar","{""database"":1,""type"":""query"",""query"":{""aggregation"":[[""count""]],""breakout"":[[""field"",""Age"",{""base-type"":""type/BigInteger"",""binning"":{""strategy"":""num-bins"",""num-bins"":10}}],[""field"",45,{""base-type"":""type/Text"",""join-alias"":""People - User""}]],""joins"":[{""alias"":""People - User"",""fields"":""all"",""strategy"":""left-join"",""condition"":[""="",[""field"",""USER_ID"",{""base-type"":""type/Integer""}],[""field"",46,{""base-type"":""type/BigInteger"",""join-alias"":""People - User""}]],""source-table"":3}],""source-table"":""card__2""}}","{""column_settings"":null,""graph.dimensions"":[""Age"",""SOURCE""],""graph.metrics"":[""count""],""graph.series_order"":null,""graph.series_order_dimension"":null,""graph.show_values"":true,""graph.x_axis.axis_enabled"":true,""graph.x_axis.labels_enabled"":true,""graph.x_axis.scale"":""ordinal"",""graph.y_axis.auto_range"":true,""stackable.stack_type"":""stacked"",""table.cell_column"":""SUBTOTAL""}",13371338,1,5,"query",False,1,NULL,NULL,False,NULL,NULL,"[{""field_ref"":[""field"",""Age"",{""base-type"":""type/BigInteger"",""binning"":{""strategy"":""num-bins"",""num-bins"":10,""min-value"":20.0,""max-value"":65.0,""bin-width"":5.0}}],""base_type"":""type/BigInteger"",""name"":""Age"",""effective_type"":""type/BigInteger"",""display_name"":""Age"",""fingerprint"":{""global"":{""distinct-count"":42,""nil%"":0},""type"":{""type/Number"":{""min"":24,""q1"":33.36752836803635,""q3"":55.20362176071121,""max"":65,""sd"":12.063315373018085,""avg"":44.572}}},""binning_info"":{""num_bins"":10,""min_value"":20.0,""max_value"":65.0,""bin_width"":5.0,""binning_strategy"":""num-bins""},""source"":""breakout""},{""description"":""The channel through which we acquired this user. Valid values include: Affiliate, Facebook, Google, Organic and Twitter"",""semantic_type"":""type/Source"",""table_id"":3,""coercion_strategy"":null,""name"":""SOURCE"",""settings"":null,""source"":""breakout"",""fk_target_field_id"":null,""field_ref"":[""field"",45,{""base-type"":""type/Text"",""join-alias"":""People - User""}],""effective_type"":""type/Text"",""nfc_path"":null,""parent_id"":null,""id"":45,""position"":8,""visibility_type"":""normal"",""display_name"":""People - User → Source"",""fingerprint"":{""global"":{""distinct-count"":5,""nil%"":0.0},""type"":{""type/Text"":{""percent-json"":0.0,""percent-url"":0.0,""percent-email"":0.0,""percent-state"":0.0,""average-length"":7.4084}}},""base_type"":""type/Text"",""source_alias"":""People - User""},{""base_type"":""type/Integer"",""name"":""count"",""display_name"":""Count"",""semantic_type"":""type/Quantity"",""source"":""aggregation"",""field_ref"":[""aggregation"",0],""aggregation_index"":0}]",NULL,"t1rQijQdCIZoQI6bhwBEG","[]","[]",True,NULL,"question",NULL,NULL,"2025-05-31 11:42:01.63138+00",16,False,NULL,NULL,NULL,20,NULL
